instance_id,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,voice_gender,mode,speechiness,tempo,musician_category,valence,music_genre
MSC_83537.0,Estrellitas y Duendes,49.178,0.970522317,0.580507755,214625.776,0.192107453,0,Scale E,0.147134271,-14.14,NA,Major,0.04640351,143.788,Band,0.598964806,Jazz
MSC_22044.0,Al Norte,59.827,1.009379967,0.687541724,216232.195,0.265942232,3.05E-05,Scale A,0.174654714,-13.716,Male,?,0.039948774,?,Band,0.357193616,Jazz
MSC_62017.0,Yeah! (feat. Lil Jon & Ludacris),89.023,0.020041343,0.967948474,273314.723,0.857411079,0,Scale D,0.042029711,-4.995,Female,Major,0.119916783,105.018,Band,0.635525296,Rap
MSC_76365.0,Can’t You See,55.762,0.010283891,0.616287254,189189.605,0.970513009,0.000219812,Scale D,0.124637261,-4.262,Both,Major,0.16749342,?,Duet,0.983749919,Rock
MSC_71493.0,"Sonata III (G Moll), BWV 1029: Adagio",45.095,0.85876893,0.280645118,410136.987,0.114731897,0.002753412,Scale F Sharp,0.134782145,-26.922,Female,Minor,0.039139195,112.183,Band,0.074411958,Classical
MSC_30580.0,Una Pàgina per Chopin,,1.047458442,0.436620084,149956.385,0.015205602,0.960472805,Scale G Sharp,0.161042344,-28.116,NA,Major,0.043902497,136.232,Duet,0.156638383,Classical
MSC_28346.0,Love More,64.265,0.000458503,0.968723365,203145.857,-1,0.000383821,Scale C Sharp,0.079219674,-7.266,Male,Major,0.052013661,104.957,Band,0.484245514,Rap
MSC_33942.0,I Think I ll Just Stay Here And Drink,60.375,0.086017591,0.621977426,248135.177,0.4204784,0.075500754,Scale A,0.168889655,-16.505,Female,Major,0.039189804,87.894,Solo,,Rock
MSC_25657.0,Juke Box Hero,73.42,0.090830323,0.380147074,275490.63,0.714245722,0,Scale A,0.089873437,-5.972,Both,Major,0.070437406,176.647,Duet,0.555169328,Rock
MSC_54552.0,Shine on Harvest Moon,34.034,1.014646272,0.67205117,207299.19,0.048039023,0.14634611,Scale A Sharp,0.11084993,-27.213,Both,Major,0.065934816,117.155,Duet,0.590628022,Jazz
MSC_54638.0,Put Your Money On Me,56.234,0.00108168,0.613319576,233460.817,0.977147896,0,Scale F,0.355135366,-3.788,Female,Minor,0.062042006,126.011,NA,,Rock
MSC_82740.0,Built My Legacy (feat. Offset),62.597,0.267935211,0.912404593,200294.994,0.633814495,0,Scale C Sharp,0.091298081,-5.27,Female,Major,0.340404996,147.945,Solo,0.739298104,Rap
